유저아이디,이메일,닉네임,비밀번호,프로필사진,관리자
tester0,tester1@naver.com,테스터0,1234,,0
tester1,tester2@naver.com,테스터1,1234,,0
tester2,tester3@naver.com,테스터2,1234,,0
tester3,tester4@naver.com,테스터3,1234,,0
tester4,tester5@naver.com,테스터4,1234,,0
tester5,tester6@naver.com,테스터5,1234,,0
tester6,tester7@naver.com,테스터6,1234,,0
tester7,tester8@naver.com,테스터7,1234,,0
tester8,tester9@naver.com,테스터8,1234,,0
tester9,tester10@naver.com,테스터9,1234,,0
tester10,tester11@naver.com,테스터10,1234,,0
tester11,tester12@naver.com,테스터11,1234,,0
tester12,tester13@naver.com,테스터12,1234,,0
tester13,tester14@naver.com,테스터13,1234,,0
tester14,tester15@naver.com,테스터14,1234,,0
tester15,tester16@naver.com,테스터15,1234,,0
tester16,tester17@naver.com,테스터16,1234,,0
tester17,tester18@naver.com,테스터17,1234,,0
tester18,tester19@naver.com,테스터18,1234,,0
tester19,tester20@naver.com,테스터19,1234,,0
tester20,tester21@naver.com,테스터20,1234,,1
